timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm]
1054049917,382930203,414866953.0,5765.4,5.281,4.399999999999977,121.0
1054049922,382927454,414866178.0,5791.67,5.272,6.800000000000011,122.0
1054049924,382926484,414865710.0,5801.36,5.02,7.199999999999989,121.0
1054049926,382926187,414864676.0,5810.1,4.413,7.600000000000023,121.0
1054049927,382926216,414864058.0,5814.99,4.553,8.0,121.0
1054049928,382926234,414863492.0,5819.45,4.553,8.399999999999977,122.0
1054049930,382925777,414862626.0,5827.21,4.581,8.800000000000011,122.0
1054049931,382925400,414862255.0,5831.77,4.581,9.0,121.0
1054049933,382924997,414861254.0,5840.53,4.581,9.0,121.0
1054049935,382924432,414860237.0,5850.1,4.619,8.600000000000023,122.0
1054049936,382924032,414859857.0,5854.88,4.619,8.199999999999989,122.0
1054049937,382923527,414859495.0,5860.34,4.619,7.800000000000011,122.0
1054049940,382922213,414859013.0,5873.1,4.581,6.399999999999977,121.0
1054049945,382919842,414858429.0,5895.61,4.479,4.600000000000023,124.0
1054049947,382918847,414858326.0,5904.89,4.479,4.399999999999977,125.0
1054049952,382916287,414857733.0,5929.17,4.74,4.399999999999977,127.0
1054049954,382915198,414857356.0,5939.7,4.927,4.399999999999977,128.0
1054049957,382913611,414856643.0,5955.53,5.123,4.199999999999989,128.0
1054049959,382912619,414856191.0,5965.38,5.123,4.0,128.0
1054049960,382912150,414856182.0,5969.7,4.432,3.8000000000000114,127.0
1054049964,382910405,414856575.0,5986.18,4.078,3.0,124.0
1054049965,382909942,414856452.0,5990.58,4.432,2.6000000000000227,124.0
1054049972,382907180,414855627.0,6017.12,2.715,1.1999999999999886,124.0
1054049977,382905062,414854987.0,6037.48,5.365,1.0,124.0
1054049979,382903818,414854489.0,6049.7,5.486,1.3999999999999773,124.0
1054049981,382902688,414853949.0,6061.04,5.365,1.6000000000000227,123.0
1054049983,382901552,414853508.0,6072.16,5.43,1.8000000000000114,124.0
1054049987,382899233,414852702.0,6094.63,5.524,2.0,127.0
1054049992,382896330,414851688.0,6122.79,5.561,2.3999999999999773,127.0
1054049999,382892324,414850440.0,6161.31,5.496,4.0,129.0
1054050000,382891836,414850199.0,6166.16,5.421,4.199999999999989,129.0
1054050001,382891453,414849824.0,6170.69,4.805,4.399999999999977,129.0
1054050003,382891152,414848841.0,6178.96,4.236,4.600000000000023,130.0
1054050006,382891420,414847032.0,6193.52,5.011,4.600000000000023,130.0
1054050008,382891773,414845785.0,6203.91,4.805,4.399999999999977,131.0
1054050010,382892130,414844586.0,6213.95,4.805,4.199999999999989,132.0
1054050012,382892042,414843208.0,6224.9,5.44,4.0,133.0
1054050013,382891781,414842354.0,6232.07,6.914,4.0,131.0
1054050015,382891044,414840748.0,6246.5,7.241,3.6000000000000227,130.0
1054050017,382890277,414839762.0,6257.05,5.123,3.0,131.0
1054050019,382889689,414839301.0,6263.62,3.396,2.0,128.0
1054050021,382889316,414839070.0,6267.52,1.866,1.3999999999999773,129.0
