timestamp [s],position_lat [semicircles],position_long [semicircles],distance [m],enhanced_speed [m/s],enhanced_altitude [m],cycle_length16 [m],heart_rate [bpm],cadence [rpm],fractional_cadence [rpm]
1049873040,382625577,414750747.0,2985.31,3.06,15.399999999999975,0.0,170.0,82.0,0.5
1049873044,382626825,414751124.0,2997.27,3.051,16.600000000000023,0.0,169.0,82.0,0.5
1049873045,382627122,414751183.0,3000.07,3.051,17.0,0.0,169.0,82.0,0.5
1049873052,382629224,414752077.0,3020.66,3.023,18.799999999999955,0.0,168.0,82.0,0.0
1049873059,382631602,414752750.0,3043.68,3.004,21.200000000000045,0.0,170.0,83.0,0.0
1049873065,382633685,414753803.0,3064.8,3.06,20.399999999999977,0.0,173.0,84.0,0.5
1049873068,382634695,414754169.0,3074.62,3.144,19.0,0.0,176.0,82.0,0.5
1049873074,382636812,414754899.0,3095.15,3.238,16.600000000000023,0.0,177.0,83.0,0.5
1049873078,382638160,414755365.0,3108.23,3.2,16.200000000000045,0.0,177.0,83.0,0.5
1049873084,382640312,414756116.0,3129.13,3.256,15.600000000000025,0.0,177.0,83.0,0.0
1049873085,382640691,414756195.0,3132.7,3.266,15.399999999999975,0.0,177.0,83.0,0.5
1049873091,382642772,414757045.0,3153.25,3.34,15.200000000000044,0.0,176.0,82.0,0.5
1049873093,382643471,414757329.0,3160.12,3.35,15.200000000000044,0.0,176.0,82.0,0.5
1049873100,382645763,414758135.0,3182.36,3.35,15.200000000000044,0.0,176.0,82.0,0.5
1049873102,382646419,414758347.0,3188.69,3.35,15.600000000000025,0.0,176.0,83.0,0.5
1049873108,382648534,414759038.0,3209.1,3.34,17.0,0.0,176.0,83.0,0.0
1049873109,382648920,414759146.0,3212.79,3.34,17.200000000000045,0.0,176.0,83.0,0.5
1049873116,382651350,414759842.0,3236.07,3.35,17.600000000000023,0.0,176.0,82.0,0.5
1049873117,382651698,414759941.0,3239.4,3.35,17.600000000000023,0.0,176.0,82.0,0.5
1049873123,382653755,414760757.0,3259.58,3.35,18.0,0.0,176.0,82.0,0.5
1049873126,382654865,414761055.0,3270.15,3.35,17.799999999999955,0.0,176.0,83.0,0.5
1049873133,382657227,414761802.0,3292.9,3.35,17.799999999999955,0.0,176.0,84.0,0.0
1049873136,382658234,414762176.0,3302.72,3.35,18.399999999999977,0.0,176.0,83.0,0.5
1049873143,382660447,414762853.0,3323.97,3.35,20.399999999999977,0.0,176.0,84.0,0.5
1049873150,382662671,414763645.0,3345.56,3.312,23.200000000000045,0.0,176.0,83.0,0.5
1049873151,382662960,414763790.0,3348.47,3.312,24.0,0.0,176.0,83.0,0.5
1049873158,382665031,414764988.0,3369.78,3.275,27.399999999999977,0.0,176.0,84.0,0.5
1049873161,382665989,414765502.0,3379.57,3.256,27.799999999999955,0.0,176.0,83.0,0.5
1049873167,382668007,414766738.0,3400.6,3.238,27.399999999999977,0.0,176.0,84.0,0.5
1049873171,382669476,414767411.0,3415.28,3.238,26.399999999999977,0.0,176.0,83.0,0.0
1049873177,382671464,414768454.0,3435.51,3.256,23.600000000000023,0.0,176.0,82.0,0.5
1049873182,382673022,414769224.0,3451.23,3.247,21.600000000000023,0.0,175.0,83.0,0.5
1049873189,382675328,414770010.0,3473.51,3.238,20.200000000000045,0.0,174.0,83.0,0.5
1049873192,382676422,414770314.0,3483.94,3.228,20.0,0.0,174.0,82.0,0.5
1049873199,382678754,414771052.0,3506.41,3.238,20.399999999999977,0.0,173.0,83.0,0.5
1049873203,382680014,414771380.0,3518.42,3.238,20.399999999999977,0.0,173.0,83.0,0.0
1049873209,382682118,414771983.0,3538.55,3.238,20.0,0.0,174.0,82.0,0.5
1049873215,382684136,414772613.0,3558.02,3.228,19.399999999999977,0.0,175.0,83.0,0.5
1049873222,382686427,414773017.0,3579.66,3.219,19.200000000000045,0.0,176.0,83.0,0.5
1049873223,382686771,414773123.0,3582.97,3.219,19.600000000000023,0.0,176.0,82.0,0.5
1049873229,382688936,414773656.0,3603.52,3.219,20.399999999999977,0.0,176.0,83.0,0.5
1049873234,382690636,414774312.0,3620.15,3.219,20.200000000000045,0.0,175.0,83.0,0.5
1049873241,382692817,414775215.0,3641.64,3.228,19.399999999999977,0.0,175.0,82.0,0.5
1049873243,382693529,414775486.0,3648.6,3.228,19.200000000000045,0.0,175.0,83.0,0.5
1049873250,382695664,414776619.0,3670.38,3.219,19.399999999999977,0.0,173.0,82.0,0.5
1049873252,382696293,414776929.0,3676.72,3.21,19.600000000000023,0.0,173.0,83.0,0.5
1049873259,382698511,414778147.0,3699.52,3.2,19.200000000000045,0.0,173.0,82.0,0.5
1049873260,382698807,414778348.0,3702.7,3.2,19.200000000000045,0.0,173.0,83.0,0.5
1049873267,382701006,414779535.0,3725.2,3.2,18.799999999999955,0.0,175.0,83.0,0.5
1049873270,382701927,414779888.0,3734.21,3.2,19.0,0.0,175.0,82.0,0.5
1049873277,382704242,414780841.0,3757.33,3.191,18.799999999999955,0.0,175.0,82.0,0.5
1049873284,382706414,414782263.0,3780.58,3.21,16.799999999999955,0.0,175.0,82.0,0.5
1049873285,382706744,414782449.0,3783.98,3.21,16.600000000000023,0.0,175.0,81.0,0.5
